component,category,layer,root_tag,reviewed,box_model,box_flags,sizing,token_usage,layout,geom_expected,geom_actual,geom_verdict,visual_review,notes
Progress,feedback,primitive,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px,,spacing-gap=2px; motion-duration-indeterminate=1500ms,13tok/0lit,(default); gap=12px,display=(default) (contract); min-height honored; box-model per demo config,"class=""progress progress--linear progress--sm progress--info""; disp=block; pad-i=16px; pad-b=16px; min-h=0px; h=32px; w=32px; gap=2px","ok (block, 32×32px)",,
Select,input,composer,div,no,pb-start=8px; pb-end=8px; pi-start=12px; pi-end=12px; gap=8px; min-h=36px,,(none),11tok/3lit,inline-flex; dir=column; gap=8px,display=inline-flex (contract); min-height honored; box-model per demo config,"class=""select select--sm select--bottom select--open""; disp=flex; pad-i=8px; pad-b=4px; min-h=32px; h=118px; w=89.89px; gap=8px","ok (flex, 89.89×118px)",,
Sheet,surface,composer,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px; min-w=64px,,(none),11tok/7lit,flex; align=center; justify=center; gap=12px,display=flex (contract); min-height honored; box-model per demo config,"class=""sheet sheet--top""; disp=flex; pad-i=16px; pad-b=16px; min-h=0px; h=900px; w=1280px; gap=8px","ok (flex, 1280×900px)",,
ShowMore,action,composer,div,no,pb-start=8px; pb-end=8px; pi-start=12px; pi-end=12px; gap=8px; min-w=36px; min-h=36px,,color-border-default=#fceaea; color-border-accent=#d9292b; size-padding-default=24px; size-radius-default=8px,16tok/0lit,(default); gap=8px,display=(default) (contract); min-height honored; box-model per demo config,"class=""show-more""; disp=block; pad-i=24px; pad-b=24px; min-h=32px; h=84px; w=125.08px; gap=8px","ok (block, 125.08×84px)",,
Shuttle,structure,composer,ul,no,gap=8px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,color-border-default=#fceaea; color-border-accent=#d9292b; size-padding-default=24px; size-radius-default=8px,15tok/0lit,(default); gap=8px,display=(default) (contract); min-height honored; box-model per demo config,"class=""shuttle""; disp=block; pad-i=24px; pad-b=24px; min-h=0px; h=126px; w=117.69px; gap=16px","ok (block, 117.69×126px)",yes,
Skeleton,feedback,primitive,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px,,radius-md=16px; gap-md=24px,15tok/1lit,block; gap=12px,display=block (contract); min-height honored; box-model per demo config,"class=""skeleton skeleton--block skeleton--shimmer skeleton--compact""; disp=block; pad-i=16px; pad-b=16px; min-h=0px; h=32px; w=32px; gap=8px","ok (block, 32×32px)",,
Spinner,feedback,primitive,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px,,size-md=20px; dots-gap=8px,12tok/0lit,(default); gap=12px,display=(default) (contract); min-height honored; box-model per demo config,"class=""spinner spinner--xs spinner--ring spinner--hairline""; disp=block; pad-i=16px; pad-b=16px; min-h=0px; h=57px; w=54px; gap=8px","ok (block, 54×57px)",,
Stat,display,primitive,div,no,gap=4px,1 hardcoded dim(s) | no padding override on non-inline root,size-value-md=28px; size-label=12px; size-gap=4px,14tok/3lit | dims: line-height=1.1,block; gap=4px,display=block (contract); min-height honored; box-model per demo config,"class=""stat stat--sm stat--up""; disp=block; pad-i=0px; pad-b=0px; min-h=0px; h=26.39px; w=44.48px; gap=4px","ok (block, 44.48×26.39px)",yes,
Status,feedback,primitive,span,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px,,color-border-default=#f29495; size-radius-default=9999px; size-padding-default=8px; size-border-default=1px; typography-lineHeight=1,17tok/0lit,(default); gap=12px,display=(default) (contract); min-height honored; box-model per demo config,"class=""status status--info""; disp=block; pad-i=8px; pad-b=8px; min-h=0px; h=34px; w=36px; gap=8px","ok (block, 36×34px)",,
Switch,action,primitive,label,no,pb-start=8px; pb-end=8px; pi-start=12px; pi-end=12px; gap=8px; min-w=36px; min-h=36px,,color-track-border-default=#aeaeae; size-md-track-width=48px; size-md-track-height=24px; size-md-track-radius=9999px; size-md-track-padding=2px; size-md-thumb-size=20px; size-md-thumb-height=20px; size-sm-track-width=32px,11tok/4lit,inline-flex; align=center; gap=8px,display=inline-flex (contract); min-height honored; box-model per demo config,"class=""switch switch--sm""; disp=flex; pad-i=8px; pad-b=4px; min-h=32px; h=40px; w=48px; gap=8px","ok (flex, 48×40px)",,
Table,structure,compound,div,no,gap=8px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,color-border=#fceaea; border-width=1px; spacing-sortGap=2px; size-cellHeight=32px; size-radius=8px; text-size=14px; text-lineHeight=1.5; text-sizeCaption=12px,13tok/2lit,(default); gap=8px,display=(default) (contract); min-height honored; box-model per demo config,"class=""table""; disp=block; pad-i=0px; pad-b=0px; min-h=0px; h=21px; w=1248px; gap=16px","ok (block, 1248×21px)",yes,
Tabs,structure,composer,div,no,gap=8px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,spacing-gap=8px; spacing-panelGap=16px; shape-radius=8px,13tok/2lit,flex; dir=column; gap=8px,display=flex (contract); min-height honored; box-model per demo config,"class=""tabs tabs--horizontal tabs--underline tabs--automatic""; disp=flex; pad-i=8px; pad-b=8px; min-h=0px; h=34px; w=50.28px; gap=16px","ok (flex, 50.28×34px)",yes,
Text,display,primitive,p,no,gap=4px,no padding override on non-inline root,typography-lineHeight-heading=1; typography-lineHeight-body=1.5,13tok/1lit,(default); gap=4px,display=(default) (contract); min-height honored; box-model per demo config,"class=""text text--display text--xs text--light text--left text--none""; disp=block; pad-i=0px; pad-b=0px; min-h=0px; h=24px; w=30.36px; gap=4px","ok (block, 30.36×24px)",yes,
TextField,input,composer,div,no,pb-start=8px; pb-end=8px; pi-start=12px; pi-end=12px; gap=8px; min-h=36px,,spacing-gap=8px; border-width=1px; border-radius=8px; color-input-borderError=#d9292b; focus-ring-width=2px,11tok/2lit,flex; dir=column; gap=8px,display=flex (contract); min-height honored; box-model per demo config,"class=""text-field""; disp=flex; pad-i=8px; pad-b=4px; min-h=32px; h=44px; w=208px; gap=8px","ok (flex, 208×44px)",,
Toast,surface,composer,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px; min-w=64px,,(none),11tok/7lit,flex; dir=column; gap=12px,display=flex (contract); min-height honored; box-model per demo config,"class=""toast toast--info toast--polite""; disp=flex; pad-i=16px; pad-b=16px; min-h=0px; h=32px; w=96px; gap=8px","ok (flex, 96×32px)",,
ToggleSwitch,action,primitive,button,no,pb-start=8px; pb-end=8px; pi-start=12px; pi-end=12px; gap=8px; min-w=36px; min-h=36px,,color-border-default=#fceaea; border-radius-default=9999px; focus-ring-width=2px,16tok/6lit,inline-flex; align=center; gap=8px,display=inline-flex (contract); min-height honored; box-model per demo config,"class=""toggle-switch toggle-switch--small""; disp=flex; pad-i=8px; pad-b=4px; min-h=32px; h=32px; w=96.55px; gap=8px","ok (flex, 96.55×32px)",,
Tooltip,surface,composer,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px; min-w=64px,,(none),11tok/1lit,inline-block; gap=12px,display=inline-block (contract); min-height honored; box-model per demo config,"class=""tooltip tooltip--top""; disp=block; pad-i=16px; pad-b=16px; min-h=0px; h=50px; w=96px; gap=8px","ok (block, 96×50px)",,
Truncate,display,primitive,div,no,gap=4px,no padding override on non-inline root,(none),11tok/1lit,block; gap=4px,display=block (contract); min-height honored; box-model per demo config,"class=""truncate""; disp=block; pad-i=0px; pad-b=0px; min-h=0px; h=18px; w=63.86px; gap=4px","ok (block, 63.86×18px)",yes,
Walkthrough,structure,composer,div,no,gap=8px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,(none),16tok/5lit,flex; dir=column; gap=8px,display=flex (contract); min-height honored; box-model per demo config,"class=""walkthrough walkthrough--top""; disp=flex; pad-i=32px; pad-b=32px; min-h=0px; h=119px; w=172px; gap=4px","ok (flex, 172×119px)",yes,
