component,other_names,description,accessibility_considerations,related_components
Table,,Organizes data in rows and columns for easy comparison and sorting.,Use appropriate header cells (<th>) with aria-sort for sortable tables; ensure captions and summaries for context.,"List, Grid"
Tabs,"Tabbed Interface, Tabbed Navigation","Organizes content into labeled sections, where only one section is visible at a time.",Use aria-selected for active tabs; ensure tab panel is focusable.,"Accordion, Button Group"
Toast,"Snackbar, Pop-up Notification","A temporary, non-intrusive message that appears briefly to communicate updates or feedback.",Use aria-live to announce the message to screen readers; ensure it is not dismissible without keyboard access.,"Alert, Modal"
Stepper,"Progress Stepper, Step Navigation","Guides users through a sequence of steps to complete a process, such as a form wizard.","Use aria-current for the active step, and ensure screen readers can announce the progress and each step's label.","Progress Indicator, Form Field"
Tooltip,"Popover, Info Box","Provides contextual information when users hover, focus, or tap on an element.",Use aria-describedby to associate the tooltip with its trigger; ensure tooltips are keyboard-accessible and dismissible by keyboard.,"Icon, Help Button, Dialog"
Switch,Toggle Switch,"Allows users to toggle between two states, often resembling a physical switch.","Use aria-checked to indicate state, ensure clear on/off labels, and provide keyboard operability.","Checkbox, Button"
Data Table,,"A table that displays large data sets with features like sorting, filtering, and pagination.","Use appropriate headers and aria-sort for sortable columns, and make row and cell focus states accessible.","Table, Pagination, Filter"
Snackbar,"Toast, Notification Bar",A brief message that appears at the bottom of the screen to provide feedback on an action.,"Use aria-live for announcements, and ensure it stays visible long enough for all users to read.","Alert, Toast"
Segmented Control,Segment Selector,"A compact control for switching between options, commonly seen in mobile interfaces.","Use aria-pressed for selected segments, ensure each segment is focusable by keyboard.","Tabs, Button Group"
Filter Panel,,"A section for filtering data, commonly with multiple selectable filters.",Ensure each filter is labeled clearly and keyboard-accessible; use aria-controls to connect filters to the affected content.,"Dropdown, Checkbox, Data Table"
Carousel,,"A rotating set of content, such as images or cards, that users can cycle through.","Provide controls to start, stop, and navigate between slides; use aria-live for changes and keyboard navigation.","Slider, Pagination"
Rating,"Star Rating, Score","Allows users to select a rating, often represented by stars or another graphical representation.","Use aria-valuenow, aria-valuemin, and aria-valuemax for ratings, and ensure all ratings are keyboard-accessible.","Slider, Icon"
Search,,Input field for users to enter search terms.,Use clear labeling for the search field; implement aria-live for search suggestions or dynamic search results.,"Input, Filter"
Status Indicator,"Indicator, State Badge","A visual representation of a status, often using color and iconography (e.g., online/offline).","Use text labels and ARIA roles to convey status, and ensure color contrast meets accessibility standards.","Badge, Icon"
Table of Contents,"TOC, Sidebar Nav","Lists sections of a document or page, allowing users to jump to different parts.","Use appropriate list semantics, ensure keyboard accessibility, and highlight the current section.","Breadcrumbs, Link"
Tree View,,"Displays a hierarchical list, often collapsible, like a file structure.","Use appropriate ARIA roles and properties to convey hierarchy, and ensure keyboard navigation.","Accordion, Navigation"
